vowel,vowel_ethnicity,f11,f21,f31,f12,f22,f32,f13,f23,f33,f14,f24,f34,f15,f25,f35,participant,ethnicity,predicted_ethnicity
a?,a?_EA,-1.200992233,0.302307861,0.674568337,-1.070086663,0.339952183,0.673138233,-1.126884261,0.426921955,0.642623697,-1.487897607,0.464204513,0.514085876,-1.725114885,0.487304254,0.983197749,1,EA,EA
a?,a?_EA,-0.47122769,-0.044272314,0.635961941,-0.440251762,-0.030438821,0.654358339,-0.507845053,0.141221138,0.636333205,-1.811410699,0.392941493,0.657997353,-0.490513596,0.421414828,0.645570292,1,EA,EA
a?,a?_EA,-0.434819918,-0.041344054,0.644466336,-0.428340413,-0.017507606,0.629629269,-0.470104725,0.071880198,0.602738802,-0.850630885,0.402366633,0.646305587,-1.757117616,0.506084149,0.653993708,1,EA,EA
a?,a?_EA,-0.470104725,-0.023952311,0.535252883,-0.435903929,0.011337166,0.599277926,-0.511347683,0.220232676,0.632241698,-0.718537307,0.402366633,0.651437563,-0.338820524,0.38390457,0.620997202,1,EA,W
a?,a?_EA,-0.511347683,-0.143622903,0.722354237,-0.466743377,-0.065013798,0.644834457,-0.481391526,0.048769232,0.642254762,-0.744777879,0.361681433,0.672422414,-0.985805663,0.427379516,0.655087202,1,EA,EA
a?,a?_EA,-0.490513596,0.001580991,0.617599049,-0.46339329,-0.00122406,0.622880087,-0.502034461,0.154530469,0.622503793,-0.983927728,0.482986458,0.656543336,-0.409150059,0.375749092,0.629629269,1,EA,W
a?,a?_EA,-0.53741551,-0.132350642,0.650340068,-0.466743377,-0.036240142,0.605039416,-0.532625082,0.140002369,0.64336116,-1.781810229,0.365581975,0.664514393,-0.340790968,0.467725643,0.637816884,1,EA,EA
a?,a?_EA,-0.496257438,-0.056813976,0.647774555,-0.465625434,-0.038424344,0.630002891,-0.562948812,0.127114801,0.617220762,-0.918568718,0.375749092,0.593870419,-0.40493509,0.431488173,0.645938007,1,EA,EA
a?,a?_EA,-1.05789139,-0.045005721,0.55598112,-0.947091151,0.279764311,0.56757893,-0.894261966,0.355310424,0.631868912,-0.799419695,0.390571262,0.667037371,-0.862191707,0.383426673,0.673495951,1,EA,W
a?,a?_EA,-0.495106027,0.00994924,0.569168124,-0.44134168,-0.018221637,0.624383847,-0.518389966,0.109040143,0.585703934,-0.818317896,0.360214799,0.595418407,-0.402834249,0.343440849,0.665235893,1,EA,W
a?,a?_EA,-0.514862625,0.042739063,0.571943151,-0.431574918,0.029888024,0.594644713,-0.466743377,0.104627908,0.594644713,-0.698593626,0.299712479,0.59580503,-1.335523126,0.305930116,0.64188569,1,EA,W
a?,a?_EA,-0.575340544,-0.027550732,0.636333205,-0.519568516,-0.048680844,0.670989235,-0.605722628,0.16409992,0.656907038,-0.880633135,0.352849188,0.605805113,-0.443525087,0.311595853,0.635961941,1,EA,EA
a?,a?_EA,-0.462279084,-0.082379278,0.617977192,-0.436989116,-0.02610981,0.646305587,-0.556810057,0.127732276,0.578650613,-0.894261966,0.40330428,0.610767903,-0.39239574,0.364608265,0.678846419,1,EA,EA
a?,a?_EA,-0.462279084,-0.038424344,0.668835609,-0.446809162,-0.040613327,0.683814491,-0.514862625,0.065988201,0.609624828,-0.901146675,0.451781993,0.614948034,-0.512517958,0.394360939,0.652168557,1,EA,EA
a?,a?_EA,-0.561718043,-0.047209174,0.55718715,-0.482527245,-0.006857878,0.636704331,-0.575340544,0.217979154,0.652899017,-0.920327734,0.451781993,0.662346762,-0.369807511,0.403772773,0.658360527,1,EA,W
a?,a?_EA,-0.562948812,-0.143622903,0.736222209,-0.491659728,-0.075548132,0.708636601,-0.535017427,0.032607264,0.669194869,-0.749219041,0.449099827,0.651437563,-0.343753933,0.484715814,0.647774555,1,EA,EA
a?,a?_EA,-0.480257096,-0.026830011,0.570358364,-0.465625434,-0.01394508,0.607716794,-0.564181098,0.201487452,0.639668394,-1.694104649,0.47691005,0.648874867,-0.403884117,0.388195399,0.669554,1,EA,W
a?,a?_EA,-0.488225266,-0.043539445,0.616842333,-0.433737081,-0.020366793,0.617977192,-0.457834632,0.0790347,0.612289973,-1.059913635,0.416339846,0.661985033,-0.407040354,0.424172183,0.625510184,1,EA,W
a?,a?_EA,-0.496257438,-0.066511926,0.637816884,-0.472351917,-0.050892419,0.656543336,-0.484802559,-0.005446445,0.635218998,-0.533820539,0.167071691,0.559995577,-1.694104649,0.391045757,0.655815534,1,EA,EA
a?,a?_EA,-1.018282252,0.097654821,0.541394151,-0.943481039,0.318760674,0.614568743,-0.922089849,0.385336893,0.657270609,-0.918568718,0.421414828,0.705524027,-0.904606886,0.438298642,0.72914313,1,EA,EA
a?,a?_EA,-0.472351917,0.029207057,0.619110765,-0.422972714,0.020999076,0.633359225,-0.433737081,0.151521138,0.628881605,-1.757117616,0.394833641,0.645202442,-0.367779113,0.391045757,0.660174422,1,EA,W
